libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
architecte;http://www.onisep.fr/http/redirection/metier/identifiant/10012;Les métiers de l'architecture, de l'urbanisme et du paysage;Parcours;2020;9782273015196;C : Bâtiment;F1101;Architecture du BTP et du paysage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1101;construction - architecture - travaux publics/architecture
géomètre-topographe;http://www.onisep.fr/http/redirection/metier/identifiant/10014;Les métiers de l'immobilier;Parcours;2018;9782273013918;C : Bâtiment;F1108;Métré de la construction;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1108;"construction - architecture - travaux publics/bureau d'études BTP ; construction - architecture - travaux publics/travaux publics ; sciences/sciences de la Terre"
technicien / technicienne de maintenance en génie climatique;http://www.onisep.fr/http/redirection/metier/identifiant/10025;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;H : Electricité, énergie, électronique;I1308;Maintenance d'installation de chauffage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1308;"construction - architecture - travaux publics/équipement technique ; environnement - énergies - propreté/énergies"
menuisier / menuisière;http://www.onisep.fr/http/redirection/metier/identifiant/10029;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;M : Travail du bois;H2202;Conduite d'équipement de fabrication de l'ameublement et du bois;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2202;"construction - architecture - travaux publics/agencement ; construction - architecture - travaux publics/ameublement ; construction - architecture - travaux publics/menuiserie ; matières premières, fabrication, industries/bois"
acheteur / acheteuse;http://www.onisep.fr/http/redirection/metier/identifiant/10068;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;Q : Commerce, gestion, finances;M1101;Achat;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101;"commerce, marketing, vente/achat, approvisionnement ; commerce, marketing, vente/grande distribution et petits commerces"
vendeur / vendeuse en magasin;http://www.onisep.fr/http/redirection/metier/identifiant/10071;Les métiers du commerce et de la distribution;Zoom sur les métiers;2016;9782273012768;Q : Commerce, gestion, finances;D1214;Vente en habillement et accessoires de la personne;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1214;"commerce, marketing, vente/grande distribution et petits commerces ; commerce, marketing, vente/marketing - vente"
agent / agente de transit;http://www.onisep.fr/http/redirection/metier/identifiant/10111;Les métiers du transport et de la logistique;Parcours;2019;9782273014533;O : Transport, logistique;N1202;Gestion des opérations de circulation internationale des marchandises;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1202;logistique - transport/transport
conducteur routier / conductrice routière;http://www.onisep.fr/http/redirection/metier/identifiant/10114;Les métiers du transport routier et de la logistique;Zoom sur les métiers;2018;9782273013659;O : Transport, logistique;N4101;Conduite de transport de marchandises sur longue distance;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4101;logistique - transport/transport
conducteur/trice de machines agricoles;http://www.onisep.fr/http/redirection/metier/identifiant/10127;Les métiers de la forêt et du bois;Zoom sur les métiers;2017;9782273013635;A : Agriculture;A1101;Conduite d'engins agricoles et forestiers;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1101;mécanique/machinisme agricole
technicien / technicienne logistique;http://www.onisep.fr/http/redirection/metier/identifiant/10135;Les métiers du transport et de la logistique;Parcours;2019;9782273014533;O : Transport, logistique;N1303;Intervention technique d'exploitation logistique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1303;"logistique - transport/logistique ; logistique - transport/transport"
