code_grand_domaine,appelation_grand_domaine,code_domaine,appelation_domaine,code_fiche_rome,appelation_fiche_rome,code_ogr,appelation_metier
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,11987,Chauffeur / Chauffeuse de machines agricoles
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,12862,Conducteur / Conductrice d'abatteuses
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,38874,Conducteur / Conductrice d'automoteur de récolte
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13254,Conducteur / Conductrice d'engins d'exploitation agricole
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13255,Conducteur / Conductrice d'engins d'exploitation forestière
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13248,Conducteur / Conductrice d'engins de débardage
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13256,Conducteur / Conductrice d'engins forestiers
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,38877,Conducteur / Conductrice d'épareuse
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13232,Conducteur / Conductrice de machines à vendanger
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,38878,Conducteur / Conductrice de matériels de semis
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,38875,Conducteur / Conductrice de pulvérisateur
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13197,Conducteur / Conductrice de tête d'abattage
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,13201,Conducteur / Conductrice de tracteur
A,"Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",11,Engins agricoles et forestiers,01,Conduite d'engins agricoles et forestiers,140877,Conducteur / Conductrice de tracteur enjambeur
